,Model Name,MAE,MSE,RMSE,R2 Score,Adjusted R2 Score
0,AdaBoost (Test),4077.48,25614186.26,5061.05,0.81,0.81
1,CatBoosting (Test),2720.92,22674965.13,4761.82,0.84,0.83
2,Gradient Boost (Test),2475.05,20261767.16,4501.31,0.85,0.85
3,XGBRegressor (Test),2919.65,25721570.32,5071.64,0.81,0.81
4,Decision Tree (Test),2993.98,42106316.66,6488.94,0.69,0.69
5,Random Forest (Test),2637.35,22640506.28,4758.2,0.84,0.83
6,K-Neighbors (Test),3324.81,28983306.47,5383.61,0.79,0.79
7,SVR (Test),8090.43,146175320.0,12090.3,-0.06,-0.07
8,ExtraTrees (Test),2638.23,25941030.23,5093.23,0.81,0.81
9,Bagging (Test),2807.03,25317002.71,5031.6,0.82,0.82
10,Ridge (Test),3941.8,33676727.06,5803.17,0.76,0.75
11,Lasso (Test),3939.29,33694141.41,5804.67,0.76,0.75
12,Linear (Test),4095.75,35552551.66,5962.6,0.74,0.74
